id	name	inchikey
DB00136	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00137	Lutein	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00138	Cystine	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	Succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	Riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00141	N-Acetylglucosamine	MBLBDJOUHNCFQT-LXGUWJNJSA-N
DB00142	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	Glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00144	Phosphatidyl serine	TZCPCKNHXULUIY-RGULYWFUSA-N
DB00145	Glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00146	Calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00147	Pyridoxal	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00148	Creatine	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	Leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	Tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	Cysteine	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	Thiamine	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	Ergocalciferol	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00154	Dihomo-gamma-linolenic acid	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00155	Citrulline	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00156	Threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00157	NADH	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00158	Folic acid	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	Icosapent	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	Alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	Valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	Vitamin A	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	Vitamin E	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00165	Pyridoxine	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00166	Lipoic acid	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00167	Isoleucine	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00168	Aspartame	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00169	Cholecalciferol	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00170	Menadione	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00171	ATP	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
DB00172	Proline	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00173	Adenine	GFFGJBXGBJISGV-UHFFFAOYSA-N
DB00174	Asparagine	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00175	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00176	Fluvoxamine	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00177	Valsartan	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00178	Ramipril	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00179	Masoprocol	HCZKYJDFEPMADG-TXEJJXNPSA-N
DB00180	Flunisolide	XSFJVAJPIHIPKU-XWCQMRHXSA-N
DB00181	Baclofen	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00182	Amphetamine	KWTSXDURSIMDCE-UHFFFAOYSA-N
DB00183	Pentagastrin	NEYNJQRKHLUJRU-DZUOILHNSA-N
DB00184	Nicotine	SNICXCGAKADSCV-JTQLQIEISA-N
DB00185	Cevimeline	WUTYZMFRCNBCHQ-LHIURRSHSA-N
DB00186	Lorazepam	DIWRORZWFLOCLC-UHFFFAOYSA-N
DB00187	Esmolol	AQNDDEOPVVGCPG-UHFFFAOYSA-N
DB00188	Bortezomib	GXJABQQUPOEUTA-RDJZCZTQSA-N
DB00189	Ethchlorvynol	ZEHYJZXQEQOSON-AATRIKPKSA-N
DB00190	Carbidopa	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00191	Phentermine	DHHVAGZRUROJKS-UHFFFAOYSA-N
DB00192	Indecainide	UCEWGESNIULAGX-UHFFFAOYSA-N
DB00193	Tramadol	TVYLLZQTGLZFBW-ZBFHGGJFSA-N
DB00194	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00195	Betaxolol	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00196	Fluconazole	RFHAOTPXVQNOHP-UHFFFAOYSA-N
DB00197	Troglitazone	GXPHKUHSUJUWKP-UHFFFAOYSA-N
DB00198	Oseltamivir	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00199	Erythromycin	ULGZDMOVFRHVEP-RWJQBGPGSA-N
DB00200	Hydroxocobalamin	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00201	Caffeine	RYYVLZVUVIJVGH-UHFFFAOYSA-N
DB00202	Succinylcholine	AXOIZCJOOAYSMI-UHFFFAOYSA-N
DB00203	Sildenafil	BNRNXUUZRGQAQC-UHFFFAOYSA-N
DB00204	Dofetilide	IXTMWRCNAAVVAI-UHFFFAOYSA-N
DB00205	Pyrimethamine	WKSAUQYGYAYLPV-UHFFFAOYSA-N
DB00206	Reserpine	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00207	Azithromycin	MQTOSJVFKKJCRP-BICOPXKESA-N
DB00208	Ticlopidine	PHWBOXQYWZNQIN-UHFFFAOYSA-N
DB00209	Trospium	OYYDSUSKLWTMMQ-JKHIJQBDSA-N
DB00210	Adapalene	LZCDAPDGXCYOEH-UHFFFAOYSA-N
DB00211	Midodrine	PTKSEFOSCHHMPD-UHFFFAOYSA-N
DB00212	Remikiren	UXIGZRQVLGFTOU-VQXQMPIVSA-N
DB00213	Pantoprazole	IQPSEEYGBUAQFF-UHFFFAOYSA-N
DB00214	Torasemide	NGBFQHCMQULJNZ-UHFFFAOYSA-N
DB00215	Citalopram	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00216	Eletriptan	PWVXXGRKLHYWKM-LJQANCHMSA-N
DB00217	Bethanidine	NIVZHWNOUVJHKV-UHFFFAOYSA-N
DB00218	Moxifloxacin	FABPRXSRWADJSP-MEDUHNTESA-N
DB00219	Oxyphenonium	GFRUPHOKLBPHTQ-UHFFFAOYSA-N
DB00220	Nelfinavir	QAGYKUNXZHXKMR-HKWSIXNMSA-N
DB00221	Isoetharine	HUYWAWARQUIQLE-UHFFFAOYSA-N
DB00222	Glimepiride	WIGIZIANZCJQQY-RUCARUNLSA-N
DB00223	Diflorasone	WXURHACBFYSXBI-XHIJKXOTSA-N
DB00224	Indinavir	CBVCZFGXHXORBI-PXQQMZJSSA-N
DB00225	Gadodiamide	HZHFFEYYPYZMNU-UHFFFAOYSA-K
DB00226	Guanadrel	HPBNRIOWIXYZFK-UHFFFAOYSA-N
DB00227	Lovastatin	PCZOHLXUXFIOCF-BXMDZJJMSA-N
DB00228	Enflurane	JPGQOUSTVILISH-UHFFFAOYSA-N
DB00229	Cefotiam	QYQDKDWGWDOFFU-IUODEOHRSA-N
DB00230	Pregabalin	AYXYPKUFHZROOJ-ZETCQYMHSA-N
DB00231	Temazepam	SEQDDYPDSLOBDC-UHFFFAOYSA-N
DB00232	Methyclothiazide	CESYKOGBSMNBPD-UHFFFAOYSA-N
DB00233	Aminosalicylic acid	WUBBRNOQWQTFEX-UHFFFAOYSA-N
DB00234	Reboxetine	CBQGYUDMJHNJBX-RTBURBONSA-N
DB00235	Milrinone	PZRHRDRVRGEVNW-UHFFFAOYSA-N
DB00236	Pipobroman	NJBFOOCLYDNZJN-UHFFFAOYSA-N
DB00237	Butabarbital	ZRIHAIZYIMGOAB-UHFFFAOYSA-N
DB00238	Nevirapine	NQDJXKOVJZTUJA-UHFFFAOYSA-N
DB00239	Oxiconazole	QRJJEGAJXVEBNE-HKOYGPOVSA-N
DB00240	Alclometasone	FJXOGVLKCZQRDN-PHCHRAKRSA-N
DB00241	Butalbital	UZVHFVZFNXBMQJ-UHFFFAOYSA-N
DB00242	Cladribine	PTOAARAWEBMLNO-KVQBGUIXSA-N
DB00243	Ranolazine	XKLMZUWKNUAPSZ-UHFFFAOYSA-N
DB00244	Mesalazine	KBOPZPXVLCULAV-UHFFFAOYSA-N
DB00245	Benzatropine	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00246	Ziprasidone	MVWVFYHBGMAFLY-UHFFFAOYSA-N
DB00247	Methysergide	KPJZHOPZRAFDTN-NQUBZZJWSA-N
DB00248	Cabergoline	KORNTPPJEAJQIU-KJXAQDMKSA-N
DB00249	Idoxuridine	XQFRJNBWHJMXHO-RRKCRQDMSA-N
DB00250	Dapsone	MQJKPEGWNLWLTK-UHFFFAOYSA-N
DB00251	Terconazole	BLSQLHNBWJLIBQ-OZXSUGGESA-N
DB00252	Phenytoin	CXOFVDLJLONNDW-UHFFFAOYSA-N
DB00253	Medrysone	GZENKSODFLBBHQ-ILSZZQPISA-N
DB00254	Doxycycline	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00255	Diethylstilbestrol	RGLYKWWBQGJZGM-ISLYRVAYSA-N
DB00256	Lymecycline	AHEVKYYGXVEWNO-UEPZRUIBSA-N
DB00257	Clotrimazole	VNFPBHJOKIVQEB-UHFFFAOYSA-N
DB00258	Calcium acetate	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00259	Sulfanilamide	FDDDEECHVMSUSB-UHFFFAOYSA-N
DB00260	Cycloserine	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00261	Anagrelide	OTBXOEAOVRKTNQ-UHFFFAOYSA-N
DB00262	Carmustine	DLGOEMSEDOSKAD-UHFFFAOYSA-N
DB00263	Sulfisoxazole	NHUHCSRWZMLRLA-UHFFFAOYSA-N
DB00264	Metoprolol	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00265	Crotamiton	DNTGGZPQPQTDQF-XBXARRHUSA-N
DB00266	Dicoumarol	DOBMPNYZJYQDGZ-UHFFFAOYSA-N
DB00267	Cefmenoxime	HJJDBAOLQAWBMH-YCRCPZNHSA-N
DB00268	Ropinirole	UHSKFQJFRQCDBE-UHFFFAOYSA-N
DB00269	Chlorotrianisene	BFPSDSIWYFKGBC-UHFFFAOYSA-N
DB00270	Isradipine	HMJIYCCIJYRONP-UHFFFAOYSA-N
DB00271	Diatrizoate	YVPYQUNUQOZFHG-UHFFFAOYSA-N
DB00272	Betazole	JXDFEQONERDKSS-UHFFFAOYSA-N
DB00273	Topiramate	KJADKKWYZYXHBB-XBWDGYHZSA-N
DB00274	Cefmetazole	SNBUBQHDYVFSQF-HIFRSBDPSA-N
DB00275	Olmesartan	VTRAEEWXHOVJFV-UHFFFAOYSA-N
DB00276	Amsacrine	XCPGHVQEEXUHNC-UHFFFAOYSA-N
DB00277	Theophylline	ZFXYFBGIUFBOJW-UHFFFAOYSA-N
DB00278	Argatroban	KXNPVXPOPUZYGB-IOVMHBDKSA-N
DB00279	Liothyronine	AUYYCJSJGJYCDS-LBPRGKRZSA-N
DB00280	Disopyramide	UVTNFZQICZKOEM-UHFFFAOYSA-N
DB00281	Lidocaine	NNJVILVZKWQKPM-UHFFFAOYSA-N
DB00282	Pamidronic acid	WRUUGTRCQOWXEG-UHFFFAOYSA-N
DB00283	Clemastine	YNNUSGIPVFPVBX-NHCUHLMSSA-N
DB00284	Acarbose	CEMXHAPUFJOOSV-XGWNLRGSSA-N
DB00285	Venlafaxine	PNVNVHUZROJLTJ-UHFFFAOYSA-N
DB00286	Conjugated estrogens	
DB00287	Travoprost	MKPLKVHSHYCHOC-AHTXBMBWSA-N
DB00288	Amcinonide	ILKJAFIWWBXGDU-MOGDOJJUSA-N
DB00289	Atomoxetine	VHGCDTVCOLNTBX-QGZVFWFLSA-N
DB00290	Bleomycin	OYVAGSVQBOHSSS-WXFSZRTFSA-O
DB00291	Chlorambucil	JCKYGMPEJWAADB-UHFFFAOYSA-N
DB00292	Etomidate	NPUKDXXFDDZOKR-LLVKDONJSA-N
DB00293	Raltitrexed	IVTVGDXNLFLDRM-HNNXBMFYSA-N
DB00294	Etonogestrel	GCKFUYQCUCGESZ-BPIQYHPVSA-N
DB00295	Morphine	BQJCRHHNABKAKU-KBQPJGBKSA-N
DB00296	Ropivacaine	ZKMNUMMKYBVTFN-HNNXBMFYSA-N
DB00297	Bupivacaine	LEBVLXFERQHONN-UHFFFAOYSA-N
DB00298	Dapiprazole	RFWZESUMWJKKRN-UHFFFAOYSA-N
DB00299	Penciclovir	JNTOCHDNEULJHD-UHFFFAOYSA-N
DB00300	Tenofovir disoproxil	JFVZFKDSXNQEJW-CQSZACIVSA-N
DB00301	Flucloxacillin	UIOFUWFRIANQPC-JKIFEVAISA-N
DB00302	Tranexamic acid	GYDJEQRTZSCIOI-LJGSYFOKSA-N
DB00303	Ertapenem	JUZNIMUFDBIJCM-ANEDZVCMSA-N
DB00304	Desogestrel	RPLCPCMSCLEKRS-BPIQYHPVSA-N
DB00305	Mitomycin	NWIBSHFKIJFRCO-WUDYKRTCSA-N
DB00306	Talbutal	BJVVMKUXKQHWJK-UHFFFAOYSA-N
DB00307	Bexarotene	NAVMQTYZDKMPEU-UHFFFAOYSA-N
DB00308	Ibutilide	ALOBUEHUHMBRLE-UHFFFAOYSA-N
DB00309	Vindesine	HHJUWIANJFBDHT-ZVTSDNJWSA-N
DB00310	Chlorthalidone	JIVPVXMEBJLZRO-UHFFFAOYSA-N
DB00311	Ethoxzolamide	OUZWUKMCLIBBOG-UHFFFAOYSA-N
DB00312	Pentobarbital	WEXRUCMBJFQVBZ-UHFFFAOYSA-N
DB00313	Valproic acid	NIJJYAXOARWZEE-UHFFFAOYSA-N
DB00314	Capreomycin	VCOPTHOUUNAYKQ-WBTCAYNUSA-N
DB00315	Zolmitriptan	ULSDMUVEXKOYBU-ZDUSSCGKSA-N
DB00316	Acetaminophen	RZVAJINKPMORJF-UHFFFAOYSA-N
DB00317	Gefitinib	XGALLCVXEZPNRQ-UHFFFAOYSA-N
DB00318	Codeine	OROGSEYTTFOCAN-DNJOTXNNSA-N
DB00319	Piperacillin	IVBHGBMCVLDMKU-GXNBUGAJSA-N
DB00320	Dihydroergotamine	LUZRJRNZXALNLM-JGRZULCMSA-N
DB00321	Amitriptyline	KRMDCWKBEZIMAB-UHFFFAOYSA-N
DB00322	Floxuridine	ODKNJVUHOIMIIZ-RRKCRQDMSA-N
DB00323	Tolcapone	MIQPIUSUKVNLNT-UHFFFAOYSA-N
DB00324	Fluorometholone	FAOZLTXFLGPHNG-KNAQIMQKSA-N
DB00325	Nitroprusside	ASPOIVQEUUCDQT-UHFFFAOYSA-N
DB00326	Calcium glucoheptonate	FATUQANACHZLRT-KMRXSBRUSA-L
DB00327	Hydromorphone	WVLOADHCBXTIJK-YNHQPCIGSA-N
DB00328	Indomethacin	CGIGDMFJXJATDK-UHFFFAOYSA-N
DB00330	Ethambutol	AEUTYOVWOVBAKS-UWVGGRQHSA-N
DB00331	Metformin	XZWYZXLIPXDOLR-UHFFFAOYSA-N
DB00332	Ipratropium	OEXHQOGQTVQTAT-BHIXFJMTSA-N
DB00333	Methadone	USSIQXCVUWKGNF-UHFFFAOYSA-N
DB00334	Olanzapine	KVWDHTXUZHCGIO-UHFFFAOYSA-N
DB00335	Atenolol	METKIMKYRPQLGS-UHFFFAOYSA-N
DB00336	Nitrofural	IAIWVQXQOWNYOU-FPYGCLRLSA-N
DB00337	Pimecrolimus	KASDHRXLYQOAKZ-XDSKOBMDSA-N
DB00338	Omeprazole	SUBDBMMJDZJVOS-UHFFFAOYSA-N
DB00339	Pyrazinamide	IPEHBUMCGVEMRF-UHFFFAOYSA-N
DB00340	Metixene	MJFJKKXQDNNUJF-UHFFFAOYSA-N
DB00341	Cetirizine	ZKLPARSLTMPFCP-UHFFFAOYSA-N
DB00342	Terfenadine	GUGOEEXESWIERI-UHFFFAOYSA-N
DB00343	Diltiazem	HSUGRBWQSSZJOP-RTWAWAEBSA-N
DB00344	Protriptyline	BWPIARFWQZKAIA-UHFFFAOYSA-N
DB00345	Aminohippuric acid	HSMNQINEKMPTIC-UHFFFAOYSA-N
DB00346	Alfuzosin	WNMJYKCGWZFFKR-UHFFFAOYSA-N
DB00347	Trimethadione	IRYJRGCIQBGHIV-UHFFFAOYSA-N
DB00348	Nitisinone	OUBCNLGXQFSTLU-UHFFFAOYSA-N
DB00349	Clobazam	CXOXHMZGEKVPMT-UHFFFAOYSA-N
DB00350	Minoxidil	ZFMITUMMTDLWHR-UHFFFAOYSA-N
DB00351	Megestrol acetate	RQZAXGRLVPAYTJ-GQFGMJRRSA-N
DB00352	Tioguanine	WYWHKKSPHMUBEB-UHFFFAOYSA-N
DB00353	Methylergometrine	UNBRKDKAWYKMIV-QWQRMKEZSA-N
DB00354	Buclizine	MOYGZHXDRJNJEP-UHFFFAOYSA-N
DB00355	Aztreonam	WZPBZJONDBGPKJ-VEHQQRBSSA-N
DB00356	Chlorzoxazone	TZFWDZFKRBELIQ-UHFFFAOYSA-N
DB00357	Aminoglutethimide	ROBVIMPUHSLWNV-UHFFFAOYSA-N
DB00358	Mefloquine	XEEQGYMUWCZPDN-UHFFFAOYSA-N
DB00359	Sulfadiazine	SEEPANYCNGTZFQ-UHFFFAOYSA-N
DB00360	Sapropterin	FNKQXYHWGSIFBK-RPDRRWSUSA-N
DB00361	Vinorelbine	GBABOYUKABKIAF-IELIFDKJSA-N
DB00362	Anidulafungin	JHVAMHSQVVQIOT-MFAJLEFUSA-N
DB00363	Clozapine	QZUDBNBUXVUHMW-UHFFFAOYSA-N
DB00364	Sucralfate	IPLJAZDIICJQEL-JTJNLBSYSA-A
DB00365	Grepafloxacin	AIJTTZAVMXIJGM-UHFFFAOYSA-N
DB00366	Doxylamine	HCFDWZZGGLSKEP-UHFFFAOYSA-N
DB00367	Levonorgestrel	WWYNJERNGUHSAO-XUDSTZEESA-N
DB00368	Norepinephrine	SFLSHLFXELFNJZ-QMMMGPOBSA-N
DB00369	Cidofovir	VWFCHDSQECPREK-LURJTMIESA-N
DB00370	Mirtazapine	RONZAEMNMFQXRA-UHFFFAOYSA-N
DB00371	Meprobamate	NPPQSCRMBWNHMW-UHFFFAOYSA-N
DB00372	Thiethylperazine	XCTYLCDETUVOIP-UHFFFAOYSA-N
DB00373	Timolol	BLJRIMJGRPQVNF-JTQLQIEISA-N
DB00374	Treprostinil	PAJMKGZZBBTTOY-ZFORQUDYSA-N
DB00375	Colestipol	
DB00376	Trihexyphenidyl	HWHLPVGTWGOCJO-UHFFFAOYSA-N
DB00377	Palonosetron	CPZBLNMUGSZIPR-NVXWUHKLSA-N
DB00378	Dydrogesterone	JGMOKGBVKVMRFX-HQZYFCCVSA-N
DB00379	Mexiletine	VLPIATFUUWWMKC-UHFFFAOYSA-N
DB00380	Dexrazoxane	BMKDZUISNHGIBY-ZETCQYMHSA-N
DB00381	Amlodipine	HTIQEAQVCYTUBX-UHFFFAOYSA-N
DB00382	Tacrine	YLJREFDVOIBQDA-UHFFFAOYSA-N
DB00383	Oxyphencyclimine	DUDKAZCAISNGQN-UHFFFAOYSA-N
DB00384	Triamterene	FNYLWPVRPXGIIP-UHFFFAOYSA-N
DB00385	Valrubicin	ZOCKGBMQLCSHFP-KQRAQHLDSA-N
DB00387	Procyclidine	WYDUSKDSKCASEF-UHFFFAOYSA-N
DB00388	Phenylephrine	SONNWYBIRXJNDC-VIFPVBQESA-N
DB00389	Carbimazole	CFOYWRHIYXMDOT-UHFFFAOYSA-N
DB00390	Digoxin	LTMHDMANZUZIPE-PUGKRICDSA-N
DB00391	Sulpiride	BGRJTUBHPOOWDU-UHFFFAOYSA-N
DB00392	Profenamine	CDOZDBSBBXSXLB-UHFFFAOYSA-N
DB00393	Nimodipine	UIAGMCDKSXEBJQ-UHFFFAOYSA-N
DB00394	Beclomethasone dipropionate	KUVIULQEHSCUHY-XYWKZLDCSA-N
DB00395	Carisoprodol	OFZCIYFFPZCNJE-UHFFFAOYSA-N
DB00396	Progesterone	RJKFOVLPORLFTN-LEKSSAKUSA-N
DB00397	Phenylpropanolamine	DLNKOYKMWOXYQA-CBAPKCEASA-N
DB00398	Sorafenib	MLDQJTXFUGDVEO-UHFFFAOYSA-N
DB00399	Zoledronic acid	XRASPMIURGNCCH-UHFFFAOYSA-N
DB00400	Griseofulvin	DDUHZTYCFQRHIY-RBHXEPJQSA-N
DB00401	Nisoldipine	VKQFCGNPDRICFG-UHFFFAOYSA-N
DB00402	Eszopiclone	GBBSUAFBMRNDJC-INIZCTEOSA-N
DB00403	Ceruletide	YRALAIOMGQZKOW-HYAOXDFASA-N
DB00404	Alprazolam	VREFGVBLTWBCJP-UHFFFAOYSA-N
DB00405	Dexbrompheniramine	ZDIGNSYAACHWNL-HNNXBMFYSA-N
DB00406	Gentian violet cation	LGLFFNDHMLKUMI-UHFFFAOYSA-N
DB00407	Ardeparin	
DB00408	Loxapine	XJGVXQDUIWGIRW-UHFFFAOYSA-N
DB00409	Remoxipride	GUJRSXAPGDDABA-NSHDSACASA-N
DB00410	Mupirocin	MINDHVHHQZYEEK-HBBNESRFSA-N
DB00411	Carbamoylcholine	VPJXQGSRWJZDOB-UHFFFAOYSA-O
DB00412	Rosiglitazone	YASAKCUCGLMORW-UHFFFAOYSA-N
DB00413	Pramipexole	FASDKYOPVNHBLU-ZETCQYMHSA-N
DB00414	Acetohexamide	VGZSUPCWNCWDAN-UHFFFAOYSA-N
DB00415	Ampicillin	AVKUERGKIZMTKX-NJBDSQKTSA-N
DB00416	Metocurine iodide	DIGFQJFCDPKEPF-OIUSMDOTSA-L
DB00417	Phenoxymethylpenicillin	BPLBGHOLXOTWMN-MBNYWOFBSA-N
DB00418	Secobarbital	KQPKPCNLIDLUMF-UHFFFAOYSA-N
DB00419	Miglustat	UQRORFVVSGFNRO-UTINFBMNSA-N
DB00420	Promazine	ZGUGWUXLJSTTMA-UHFFFAOYSA-N
DB00421	Spironolactone	LXMSZDCAJNLERA-ZHYRCANASA-N
